image_1,image_2,image_3,style_id,Category,Sub Category,Apparel Type,Closure Silhouette,Color Family,Compression,Graphic Placement,Neckline,Pattern,Sleeve Length,Top Length
https://dks.scolfGalaxy/16NIKMNCRKNSSCRMSAPOX/AutoTest1224,,,00031170XAK1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCBMCRMSLKFAPOX,,,00031170XAL1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCBYLRGRNSLAPOA,,,00031170XBX1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCBYNVYSLKFAPO,,,00031170XBY1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCLNVYSLKFAPO,,,00031170XCA1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCLMSNRGSLAPOXX,,,00031170XCM1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCLRDBLKSLAPO,,,00031170XCO1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCDKRYLSLKFAPOX,,,00031170XDK1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCBSSTRYLSLAPO,,,00031170XES1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCFLRDRYLSLAPO,,,00031170XFG1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scenee/GolfGalaxy/16NIKMNCFSMRNSLKFAPO/AutoTest1224,,,00031170XFS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCGRGGRYSLKAPOX,,,00031170XGG5,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCLLNSNVYSLAPO,,,00031170XIL1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWBLKSLKFLAPOX,,,00031170XIW1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKYRYLSLKFAPOX,,,00031170XKE1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKSPRSLKFLAPO,,,00031170XKS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCLSPRSLKFLAPOX,,,00031170XLS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCMNNMRNSLKAPOX,,,00031170XMN1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCMZZBLKSLKAPOX,,,00031170XMO1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCLMSSGRYSLAPOX,,,00031170XMP5,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCMCHSTGRNSAPOXX,,,00031170XMS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCNCBLKSLKFAPO,,,00031170XNC5,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKSTBLKSLKAPOXX,,,00031170XOC1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCRGNGRNSLKAPOXX,,,00031170XOD1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dkimage/GolfGalaxy/16NIKMNCKCRMSLKFLAPOX/AutoTest1224,,,00031170XOK1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCHSTRDSLKFAPOX,,,00031170XOS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCHSTBLKSLKAPO,,,00031170XOS4,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCPSNVYSLKFAPOX,,,00031170XPE1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCPTTNVYSLKAPO,,,00031170XPQ1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCPRDBLKSLKAPO,,,00031170XPU1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCRTGRSBLKSAPO,,,00031170XRT4,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCSCCRMSLKFAPOX,,,00031170XSC1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCTCPRSLKFLAPO,,,00031170XTF1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCTNNRGSLKFAPOX,,,00031170XTN1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCTXSRGSLKFAPOX,,,00031170XTX1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCNNNVYSLKAPO,,,00031170XUC1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCVRGNNVYSLAPOX,,,00031170XVR1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scge/GolfGalaxy/16NIKMNCVTCHMRNSLAPO/AutoTest1224,,,00031170XVT1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWSHSTCRMSAPO,,,00031170XWC1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWSHBLKSLKAPOX,,,00031170XWH4,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWVNVYSLKFAPOX,,,00031170XWV1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCFRCRYLSLKAPO,,,00031171XAF1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCRKNSSCRMSAPOXX,,,00031171XAK1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCBMCRMSLKFAPO,,,00031171XAL1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCLMSNRGSLAPOX,,,00031171XCM1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCLRDBLKSLAPOX,,,00031171XCO1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCDKRYLSLKFAPO,,,00031171XDK1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCFLRDRYLSLAPOX,,,00031171XFG1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCFSMRNSLKFAPOX,,,00031171XFS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCGRGGRYSLKAPO/AutoTest1224,,,00031171XGG5,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKYRYLSLKFAPO,,,00031171XKE1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKSGRYSLKFAPO,,,00031171XKS4,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCLSPRSLKFLAPO,,,00031171XLS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCMNNMRNSLKAPO,,,00031171XMN1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCMZZBLKSLKAPO,,,00031171XMO1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCLMSSGRYSLAPO/AutoTest1224,,,00031171XMP5,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCMCHSTGRNSAPOX,,,00031171XMS1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCNCBLSLKFLAPO,,,00031171XNC1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKSTBLKSLKAPOX,,,00031171XOC1,Mens,Sweatshirts & Hoodies,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCRSTBLKSLKAPOX,,,00031171XOE1,Mens,Sweatshirts & Hoodies,,,,,,,,,
