image_1,image_2,image_3,style_id,sub_class,class,sub_dept,dept,division,sku,vendor,apparel_type,color,leg_fit,neck_type,pant_length,print_type,sleeve_length
https://dks.scene7.com/is/image/dkscdn/18CHAWFLCJGGRGRPHAPB_Granite_Heather_White_Blk,,,M0937G,TRAINING BOTTOMS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19432055,JBI/CHAMPION JOG BRA,,Granite Heather/White/Blk,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCPDDDBRAPU_Ash_Grey,,,S19APW101DF,A MED IMPACT SPORTS BRA,A SPORTS BRA UNDERWEAR,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19384426,ADIDAS,,Ash Grey,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWGRPHCPDDDBRAPU_Shock_Red,,,S19APW101DF,A MED IMPACT SPORTS BRA,A SPORTS BRA UNDERWEAR,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19384426,ADIDAS,,Shock Red,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWDGRPHCTNKXXAPT_Ash_Grey,,,S1954WID617,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19636765,ADIDAS,,Ash Grey,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWDGRPHCTNKXXAPT_Prism_Pink,,,S1954WID617,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19636765,ADIDAS,,Prism Pink,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWDGRPHCTNKXXAPT_Clear_Mint,,,S1954WID617,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19636765,ADIDAS,,Clear Mint,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWDGRPHCTNKXXAPT_Black,,,S1954WID617,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19636765,ADIDAS,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/18ADIWDGRPHCTNKXXAPT_White,,,S1954WID617,A TRAINING TOPS,A TRAINING,ADIDAS,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19636765,ADIDAS,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_Light_Pink,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,Light Pink,,,,,
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_Black,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,Black,,,,,
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_White,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,White,,,,,
https://dks.scene7.com/is/image/dkscdn/19CHAWGRPHCJRSYSSAPT_Violet,,,GT18H,TRAINING TOPS,TRAINING,CHAMPION,WOMENS ATHLETIC APPAREL,APPAREL ATHLETIC,19638446,JBI/CHAMPION JOG BRA,,Violet,,,,,
