image_1,image_2,image_3,style_id,Category,Sub Category,Apparel Type,Closure Silhouette,Color Family,Compression,Graphic Placement,Neckline,Pattern,Sleeve Length,Top Length
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWNTHTRBLNAPT,,,00030409XIW5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCBMCRMVRTRAPT,,,00030415XAL5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCFLRDRYLVRAPT,,,00030415XFG5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWBLKVRTRBAPT,,,00030415XIW5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCKYRYLVRTRAPT,,,00030415XKE5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCHSTRDVRTRAPT,,,00030415XOS5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCSMRNLCLTRAPT,,,00030417XAA5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCCLMSNRGLCAPTX,,,00030417XCM5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMNCWVNVYLCLTAPT,,,00030417XWV5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16NIKMMLBRNGRSRYLAPTXXX,,,00030432XRN5,Mens,Tops and Shirts,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16ANGMMLSQKSXCGRYAPT,,,100691ED7242G,Mens,Sweaters,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16ANGMMLSSNDRSXCBAPT,,,100691ED7245B,Mens,Sweaters,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16ANGMMLSSNDRSXCGAPT,,,100691ED7245H,Mens,Sweaters,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16ANGMMLSSPRTKCXCAPTB,,,100691ED7248H,Mens,Sweaters,,,,,,,,,
https://dks.scene7.com/is/image/GolfGalaxy/16ANGMMLSSPRTKCXCAPTX,,,100691ED7248N,Mens,Sweaters,,,,,,,,,
